uid,ID,Results_of_analysis,Bird_species_FR,CD_nom,Bird_species_LAT,Bird_family_latin,Code_INSEE_municipality,Obs_date,Zone_of_enhanced_surveillance_ZRP,Name_ZRP,Nb_birds_lab_pools,X_Municipality_centroid_Lambert93,Y_Municipality_centroid_Lambert93
1669,38_20221220_A,negative,Epervier_d_Europe,2895,Accipiter_nisus,Accipitridae,38027,13/11/2022,No,NA,1,933236,6486108
1670,22_20230126_B,negative,Epervier_d_Europe,2895,Accipiter_nisus,Accipitridae,22093,14/10/2022,No,NA,1,294116,6832838
1671,34_20230130_U,negative,Epervier_d_Europe,2895,Accipiter_nisus,Accipitridae,34128,04/10/2022,No,NA,12,758415,6314504
1773,71_20220112_A,negative,Fauvette_a_tete_noire,4259,Motacilla_atricapilla,Sylviidae,71378,02/10/2021,No,NA,1,832811,6642922
1775,30_20201211_A,negative,Flamant_rose,199335,Phoenicopterus_roseus,Phoenicopteridae,30341,01/12/2020,Yes,CAMARGUE,2,805127,6282885
1776,30_20201213_A,negative,Flamant_rose,199335,Phoenicopterus_roseus,Phoenicopteridae,30341,08/12/2020,Yes,CAMARGUE,2,805127,6282885
1777,34_20210126_A,negative,Flamant_rose,199335,Phoenicopterus_roseus,Phoenicopteridae,34337,12/01/2021,Yes,ETANGS_MONTPELLIERAINS,1,769410,6271547
1778,11_20210202_A,negative,Flamant_rose,199335,Phoenicopterus_roseus,Phoenicopteridae,11170,21/01/2021,Yes,ETANGS_DU_NARBONNAIS,1,706925,6223530
1779,30_20220119_A,negative,Flamant_rose,199335,Phoenicopterus_roseus,Phoenicopteridae,30059,19/11/2021,Yes,CAMARGUE,1,800450,6285470
1780,34_20220412_A,negative,Flamant_rose,199335,Phoenicopterus_roseus,Phoenicopteridae,34159,14/01/2022,Yes,ETANGS_MONTPELLIERAINS,1,764951,6269077
1781,34_20220412_B,negative,Flamant_rose,199335,Phoenicopterus_roseus,Phoenicopteridae,34337,13/11/2021,Yes,ETANGS_MONTPELLIERAINS,1,769410,6271547
1782,59_20221012_B,negative,Flamant_rose,199335,Phoenicopterus_roseus,Phoenicopteridae,59183,24/06/2022,No,NA,1,655200,7104532
1783,30_20221124_A,HP,Flamant_rose,199335,Phoenicopterus_roseus,Phoenicopteridae,30341,09/11/2022,Yes,CAMARGUE,1,805127,6282885
753,67_20210426_B,negative,Cigogne_blanche,2519,Ardea_ciconia,Ciconiidae,67192,22/03/2021,Yes,COURS_DU_RHIN,1,1043400,6815655
754,67_20210426_D,negative,Cigogne_blanche,2519,Ardea_ciconia,Ciconiidae,67100,23/03/2021,No,NA,1,1042590,6856753
755,67_20210428_C,negative,Cigogne_blanche,2519,Ardea_ciconia,Ciconiidae,67482,19/03/2021,Yes,COURS_DU_RHIN,1,1049823,6841722
1789,14_20220818_A,negative,Fou_de_Bassan,2437,Morus_bassanus,Sulidae,14318,31/05/2022,No,NA,1,446605,6920322
733,29_20220614_A,negative,Effraie_des_clochers,3484,Strix_alba,Tytonidae,29077,28/03/2022,Yes,DPM_COTES_D_ARMOR_A_Pte_St_MATHIEU,1,155198,6860927
1790,80_20220830_B,HP,Fou_de_Bassan,2437,Morus_bassanus,Sulidae,80713,09/06/2022,Yes,L_AUTHIE_BASSE_VALLEE_ET_MARAIS_ARRIERES,1,598072,7021551
1791,80_20220830_C,HP,Fou_de_Bassan,2437,Morus_bassanus,Sulidae,80713,07/06/2022,Yes,L_AUTHIE_BASSE_VALLEE_ET_MARAIS_ARRIERES,1,598072,7021551
1792,80_20220830_D,HP,Fou_de_Bassan,2437,Morus_bassanus,Sulidae,80333,03/06/2022,Yes,L_AUTHIE_BASSE_VALLEE_ET_MARAIS_ARRIERES,1,598812,7028729
1793,17_20220831_A,HP,Fou_de_Bassan,2437,Morus_bassanus,Sulidae,17337,05/08/2022,Yes,MOEZE_MARENNES_SEUDRE_ILE_D_OLERON,1,366005,6551363
